,title,release_date,colored,genre,language,country,rating,lead_actor,director_name,lead_actor_fb_likes,cast_fb_likes,director_fb_likes,movie_fb_likes,imdb_score,total_reviews,duration,revenue_eur,budget_eur
835,Small Soldiers,1998-07-03,True,Action,English,United States of America,PG-13,Kirsten Dunst,Joe Dante,4000.0,8610,287,0,6.1,100.0,108.0,44251303.20675797,32805708.19322562
836,Smoke Signals,1998-11-20,True,Comedy,English,Canada,PG-13,Michael Greyeyes,Chris Eyre,912.0,3163,149,0,7.2,56.0,89.0,4291836.995401124,1277465.5084312723
837,Snake Eyes,1998-10-24,True,Crime,English,United States of America,R,Nicolas Cage,Brian De Palma,12000.0,15269,0,880,5.9,117.0,98.0,45587951.28352333,56589846.63331419
838,Soldier,1998-06-15,True,Action,English,United Kingdom,R,Connie Nielsen,Paul W.S. Anderson,933.0,2542,545,0,6.0,67.0,99.0,16223490.172058579,83523581.49117434
839,Sphere,1998-03-11,True,Drama,English,United States of America,PG-13,Peter Coyote,Barry Levinson,548.0,1044,272,0,6.0,108.0,134.0,30325897.646190435,61510702.862298034
840,Star Trek: Insurrection,1998-04-23,True,Action,English,United States of America,PG,LeVar Burton,Jonathan Frakes,1000.0,6207,906,1000,6.4,160.0,103.0,57506414.33609448,47568276.88017715
841,Stepmom,1998-06-08,True,Comedy,English,United States of America,PG-13,Julia Roberts,Chris Columbus,8000.0,9988,0,0,6.7,65.0,124.0,74658268.6787501,41007135.24153202
842,Tango,1998-04-22,True,Drama,Spanish,Spain,PG-13,MÃ­a Maestro,Carlos Saura,341.0,371,98,539,7.2,35.0,115.0,1687311.0,700000000.0
843,The Big Hit,1998-08-23,True,Action,English,United States of America,R,Bokeem Woodbine,Kirk Wong,904.0,3353,6,934,6.1,57.0,91.0,22186637.414910194,10661855.162798326
844,The Big Lebowski,1998-07-04,True,Comedy,English,United States of America,R,Philip Seymour Hoffman,Joel Coen,22000.0,47728,0,35000,8.2,249.0,117.0,14302602.312802427,12302140.572459606
845,The Celebration,1998-06-14,True,Drama,Danish,Denmark,R,Ulrich Thomsen,Thomas Vinterberg,280.0,821,346,5000,8.1,98.0,105.0,221508.55637258198,174757.02052722848
846,The Faculty,1998-04-20,True,Horror,English,United States of America,R,Jordana Brewster,Robert Rodriguez,4000.0,12170,0,0,6.4,154.0,104.0,32858980.56261789,12302140.572459606
847,The Horse Whisperer,1998-06-09,True,Drama,English,United States of America,PG-13,Scarlett Johansson,Robert Redford,19000.0,20683,0,0,6.5,96.0,170.0,61814781.43196916,49208562.289838426
848,The Magic Sword: Quest for Camelot,1998-12-26,True,Adventure,English,United States of America,G,Gary Oldman,Frederik Du Chau,10000.0,14275,7,0,6.2,34.0,86.0,18631803.49380792,32805708.19322562
849,The Man in the Iron Mask,1998-04-14,True,Action,English,United States of America,PG-13,Leonardo DiCaprio,Randall Wallace,29000.0,29265,130,0,6.4,83.0,132.0,46646735.83203477,28704994.669072416
850,The Mask of Zorro,1998-10-07,True,Action,English,United States of America,PG-13,Anthony Hopkins,Martin Campbell,12000.0,12396,258,0,6.7,156.0,136.0,76905660.62494874,53309275.81399163
851,The Negotiator,1998-10-23,True,Action,English,Germany,R,Kevin Spacey,F. Gary Gray,18000.0,20152,473,3000,7.3,68.0,140.0,44484065.0,50000000.0
852,The Newton Boys,1998-02-20,True,Action,English,United States of America,PG-13,Matthew McConaughey,Richard Linklater,11000.0,11969,0,315,6.0,63.0,123.0,8445745.099647338,22143853.030427292
853,The Object of My Affection,1998-10-05,True,Comedy,English,United States of America,R,Liam Aiken,Nicholas Hytner,818.0,1450,13,849,6.0,65.0,111.0,23871678.01197408,12302140.572459606
854,The Players Club,1998-07-19,True,Comedy,English,United States of America,R,Bernie Mac,Ice Cube,1000.0,2868,0,575,5.6,22.0,104.0,18889026.490609363,3690642.171737882
855,The Prince of Egypt,1998-06-18,True,Adventure,English,United States of America,PG,Martin Short,Brenda Chapman,770.0,1195,59,0,7.0,120.0,99.0,83013122.28327729,57409989.33814483
856,The Red Violin,1998-05-26,True,Drama,French,Canada,R,Johannes Silberschneider,FranÃ§ois Girard,24.0,29,63,0,7.7,94.0,130.0,6050959.376596832,6387327.542156361
857,The Replacement Killers,1998-03-16,True,Action,English,United States of America,R,Mira Sorvino,Antoine Fuqua,978.0,3072,845,629,6.1,105.0,96.0,15556114.984007215,24604281.144919213
858,The Rugrats Movie,1998-12-17,True,Adventure,English,United States of America,G,Elizabeth Daily,Igor Kovalyov,971.0,3438,5,418,5.9,45.0,83.0,82417520.7086033,19683424.91593537
859,The Siege,1998-12-29,True,Action,English,United States of America,R,Denzel Washington,Edward Zwick,18000.0,32563,380,0,6.3,120.0,116.0,33570386.28721397,57409989.33814483
860,The Thin Red Line,1998-01-01,True,Drama,English,United States of America,R,Nick Stahl,Terrence Malick,648.0,1937,0,0,7.6,156.0,215.0,29841518.084146637,42647420.651193306
861,The Truman Show,1998-05-05,True,Comedy,English,United States of America,PG,Natascha McElhone,Peter Weir,2000.0,3698,608,18000,8.1,213.0,103.0,103012679.40621667,49208562.289838426
862,The Waterboy,1998-05-23,False,Comedy,English,United States of America,PG-13,Adam Sandler,Frank Coraci,11000.0,13823,153,0,6.1,108.0,90.0,132442591.65094726,16402854.09661281
863,The X Files,1998-10-14,True,Drama,English,United States of America,PG-13,Martin Landau,Rob Bowman,940.0,4230,38,0,7.0,142.0,121.0,68803718.52702369,54129418.51882227
864,There's Something About Mary,1998-09-17,True,Comedy,English,United States of America,R,Sarah Silverman,Bobby Farrelly,931.0,4664,101,0,7.1,171.0,107.0,144741907.65193143,18863282.211104732
865,Urban Legend,1998-01-20,True,Horror,English,United States of America,R,Alicia Witt,Jamie Blanks,975.0,3500,9,0,5.5,101.0,99.0,31205312.064299185,11481997.867628966
866,Vampires,1998-05-01,True,Action,English,United States of America,R,Sheryl Lee,John Carpenter,2000.0,5123,0,0,6.1,114.0,104.0,16600832.4448454,16402854.09661281
867,Very Bad Things,1998-08-07,True,Comedy,English,United States of America,R,Jon Favreau,Peter Berg,4000.0,6046,532,0,6.3,100.0,100.0,8038860.001640284,8201427.048306405
868,Waking Ned Devine,1998-10-12,True,Comedy,English,United Kingdom,PG,James Nesbitt,Kirk Jones,773.0,1965,52,0,7.4,94.0,91.0,27605999.22044657,3340943.2596469736
869,What Dreams May Come,1998-03-20,True,Drama,English,United States of America,PG-13,Robin Williams,Vincent Ward,49000.0,49631,25,32000,7.0,121.0,113.0,45395634.38038218,69712129.91060443
870,Wild Things,1998-03-29,True,Crime,English,United States of America,R,Bill Murray,John McNaughton,13000.0,14275,39,0,6.5,69.0,115.0,24402480.111539405,16402854.09661281
871,Without Limits,1998-05-27,True,Biography,English,United States of America,PG-13,Billy Burke,Robert Towne,2000.0,4351,162,942,7.2,28.0,117.0,637597.802017551,20503567.62076601
872,Woo,1998-06-23,True,Comedy,English,United States of America,R,LL Cool J,Daisy von Scherler Mayer,1000.0,3352,18,204,3.8,23.0,84.0,6583261.707537111,10661855.162798326
873,You've Got Mail,1998-12-14,True,Comedy,English,United States of America,PG,Tom Hanks,Nora Ephron,15000.0,17768,0,0,6.5,153.0,119.0,94916379.89010087,53309275.81399163
874,Zero Effect,1998-03-22,True,Comedy,English,United States of America,R,Kim Dickens,Jake Kasdan,624.0,1209,52,507,7.0,81.0,116.0,1624159.7637989009,4100713.5241532023
875,10 Things I Hate About You,1999-03-26,True,Comedy,English,United States of America,PG-13,Joseph Gordon-Levitt,Gil Junger,23000.0,37907,19,10000,7.2,133.0,97.0,31309856.475026652,13122283.277290247
876,200 Cigarettes,1999-08-05,True,Comedy,English,United States of America,R,Janeane Garofalo,Risa Bramon Garcia,1000.0,2697,112,0,5.9,67.0,101.0,5619319.2815549895,4920856.228983843
877,8MM,1999-02-17,True,Mystery,English,Germany,R,Nicolas Cage,Joel Schumacher,12000.0,12970,541,0,6.5,138.0,123.0,36283504.0,40000000.0
878,A Dog of Flanders,1999-01-30,True,Drama,English,United States of America,PG,Bruce McGill,Kevin Brodie,655.0,1906,0,157,6.3,25.0,100.0,1761840.4002296398,5740998.933814483
879,A Walk on the Moon,1999-11-03,True,Drama,English,United States of America,R,Viggo Mortensen,Tony Goldwyn,10000.0,10368,956,860,6.6,47.0,107.0,3889106.044451734,11481997.867628966
880,Aimee & Jaguar,1999-10-22,True,Biography,German,Germany,Unrated,Heike Makatsch,Max FÃ¤rberbÃ¶ck,177.0,333,4,687,7.3,63.0,125.0,927107.0,15000000.0
881,American Beauty,1999-12-09,True,Drama,English,United States of America,R,Kevin Spacey,Sam Mendes,18000.0,19078,0,22000,8.4,176.0,122.0,106666158.45157056,12302140.572459606
882,American Pie,1999-08-03,True,Comedy,English,United States of America,R,Alyson Hannigan,Paul Weitz,3000.0,8134,80,0,7.0,145.0,95.0,83438214.54933158,9021569.753137045
883,An Ideal Husband,1999-01-04,True,Comedy,English,United Kingdom,PG-13,Minnie Driver,Oliver Parker,893.0,2640,32,646,6.9,105.0,97.0,20641673.812573083,15591068.545019211
884,Analyze This,1999-05-21,True,Comedy,English,United States of America,R,Robert De Niro,Harold Ramis,22000.0,24333,11000,0,6.7,145.0,103.0,87504318.87148362,24604281.144919213
885,Angela's Ashes,1999-10-29,True,Drama,English,United States of America,R,Emily Watson,Alan Parker,876.0,1282,317,0,7.3,99.0,145.0,10693561.879767079,20503567.62076601
886,Anna and the King,1999-01-14,True,Drama,English,United States of America,PG-13,Bai Ling,Andy Tennant,582.0,804,72,0,6.7,91.0,148.0,32191526.285573687,61510702.862298034
887,Any Given Sunday,1999-06-22,True,Drama,English,United States of America,R,Al Pacino,Oliver Stone,14000.0,20761,0,0,6.8,171.0,156.0,61946060.854588695,45107848.76568522
888,Anywhere But Here,1999-07-05,True,Comedy,English,United States of America,PG-13,Natalie Portman,Wayne Wang,20000.0,22040,61,638,6.1,36.0,114.0,15298626.260969408,18863282.211104732
889,Arlington Road,1999-08-04,True,Crime,English,United States of America,R,Jeff Bridges,Mark Pellington,12000.0,13576,89,0,7.2,155.0,117.0,19980727.466579184,17633068.15385877
890,At First Sight,1999-04-05,False,Drama,English,United States of America,PG-13,Mira Sorvino,Irwin Winkler,978.0,3821,34,0,5.9,55.0,128.0,18310708.603296973,49208562.289838426
891,Austin Powers: The Spy Who Shagged Me,1999-08-25,True,Action,English,United States of America,PG-13,Muse Watson,Jay Roach,45000.0,47203,116,0,6.6,199.0,95.0,168456837.52973014,27064709.259411134
892,Baby Geniuses,1999-07-21,True,Comedy,English,United States of America,PG,Kathleen Turner,Bob Clark,899.0,2936,84,0,2.5,45.0,97.0,22260279.668662343,14762568.686951527
893,Bats,1999-05-19,True,Horror,English,United States of America,PG-13,Leon,Louis Morneau,730.0,1405,38,342,3.6,97.0,91.0,8324267.202493233,5330927.581399163
894,Being John Malkovich,1999-10-30,True,Comedy,English,United States of America,R,Willie Garson,Spike Jonze,512.0,1171,0,0,7.8,242.0,112.0,18747581.39916345,10661855.162798326
895,Beyond the Mat,1999-07-13,True,Biography,English,United States of America,R,Terry Funk,Barry W. Blaustein,54.0,194,6,491,7.6,70.0,108.0,1679299.5981300746,410071.35241532023
896,Bicentennial Man,1999-04-01,True,Comedy,English,United States of America,PG,Robin Williams,Chris Columbus,49000.0,55254,0,0,6.8,93.0,132.0,47749344.70597883,82014270.48306404
897,Big Daddy,1999-08-02,True,Comedy,English,United States of America,PG-13,Steve Buscemi,Dennis Dugan,12000.0,26760,221,0,6.4,112.0,93.0,134076761.25645861,28048880.505207904
898,Blast from the Past,1999-02-13,True,Comedy,English,United States of America,PG-13,Brendan Fraser,Hugh Wilson,3000.0,5709,37,0,6.6,95.0,112.0,21729361.928975638,28704994.669072416
899,Blue Streak,1999-06-26,True,Action,English,United States of America,PG-13,Peter Greene,Les Mayfield,789.0,2986,10,0,6.3,40.0,93.0,55940449.43820224,53309275.81399163
900,Bowfinger,1999-12-22,True,Comedy,English,United States of America,PG-13,Robert Downey Jr.,Frank Oz,21000.0,22458,0,0,6.4,140.0,85.0,54429008.44746985,45107848.76568522
901,Boys Don't Cry,1999-10-21,True,Biography,English,United States of America,R,Alicia Goranson,Kimberly Peirce,173.0,563,108,0,7.6,123.0,118.0,9459480.849667842,1640285.409661281
902,Breakfast of Champions,1999-01-27,True,Comedy,English,United States of America,R,Bruce Willis,Alan Rudolph,13000.0,17417,18,458,4.6,42.0,110.0,143828.4261461494,9841712.457967686
903,Bringing Out the Dead,1999-04-11,True,Drama,English,United States of America,R,Nicolas Cage,Martin Scorsese,12000.0,13040,17000,0,6.8,163.0,121.0,13647346.838349871,45107848.76568522
904,Brokedown Palace,1999-01-01,True,Drama,English,United States of America,PG-13,John Doe,Jonathan Kaplan,181.0,582,57,0,6.4,70.0,100.0,8295181.661609119,20503567.62076601
905,But I'm a Cheerleader,1999-06-19,True,Comedy,English,United States of America,R,Natasha Lyonne,Jamie Babbit,1000.0,4289,91,0,6.6,99.0,85.0,1804193.3896497989,984171.2457967686
906,Chill Factor,1999-03-24,True,Action,English,United States of America,R,David Paymer,Hugh Johnson,372.0,1274,3,120,5.2,68.0,102.0,9208513.081276141,27884851.964241777
907,Cradle Will Rock,1999-10-12,True,Drama,English,United States of America,R,Bill Murray,Tim Robbins,13000.0,16878,0,625,6.9,70.0,132.0,2378389.2397277122,26244566.554580495
908,Crazy in Alabama,1999-04-27,True,Comedy,English,United States of America,PG-13,Meat Loaf,Antonio Banderas,783.0,4834,0,391,6.3,28.0,111.0,1602724.5140654473,12302140.572459606
909,Cruel Intentions,1999-02-22,True,Drama,English,United States of America,R,Sarah Michelle Gellar,Roger Kumble,4000.0,6223,16,0,6.9,101.0,97.0,31331005.49495612,8611498.400721725
910,Deep Blue Sea,1999-07-10,True,Action,English,United States of America,R,LL Cool J,Renny Harlin,1000.0,3697,212,0,5.8,199.0,105.0,60401986.38563109,49208562.289838426
911,Deterrence,1999-11-08,True,Drama,English,France,R,Kevin Pollak,Rod Lurie,574.0,1983,37,130,6.5,29.0,104.0,144583.0,800000.0
912,Detroit Rock City,1999-06-15,True,Comedy,English,United States of America,R,Natasha Lyonne,Adam Rifkin,1000.0,2518,89,0,6.8,42.0,95.0,3438878.864922496,12302140.572459606
913,Deuce Bigalow: Male Gigolo,1999-03-11,True,Comedy,English,United States of America,R,Amy Poehler,Mike Mitchell,1000.0,2604,31,0,5.7,91.0,88.0,53748107.11063725,13942425.982120888
914,Dick,1999-04-19,True,Comedy,English,France,PG-13,Ryan Reynolds,Andrew Fleming,16000.0,31005,26,0,6.1,81.0,94.0,6241697.0,13000000.0
915,Dogma,1999-05-24,True,Adventure,English,United States of America,R,Matt Damon,Kevin Smith,13000.0,16693,0,10000,7.4,206.0,130.0,25138540.1459854,8201427.048306405
916,Double Jeopardy,1999-09-26,True,Crime,English,United States of America,R,Bruce Greenwood,Bruce Beresford,984.0,2129,78,0,6.4,129.0,105.0,95739548.10136963,57409989.33814483
917,Doug's 1st Movie,1999-02-01,True,Animation,English,United States of America,G,Frank Welker,Maurice Joyce,2000.0,2908,0,122,5.0,28.0,77.0,15928213.729188878,4100713.5241532023
918,Dreaming of Joseph Lees,1999-03-18,True,Drama,English,United States of America,R,Samantha Morton,Eric Styles,631.0,2020,4,100,6.4,16.0,92.0,6298.6959730993185,1640285.409661281
919,Drive Me Crazy,1999-06-18,True,Comedy,English,United States of America,PG-13,Stephen Collins,John Schultz,452.0,1760,13,0,5.7,59.0,91.0,14634117.116378248,6561141.638645124
920,Drop Dead Gorgeous,1999-04-11,True,Comedy,English,Germany,PG-13,Kirsten Dunst,Michael Patrick Jann,4000.0,6388,31,0,6.5,77.0,97.0,10561238.0,10000000.0
921,Dudley Do-Right,1999-05-24,True,Comedy,English,United States of America,PG,Brendan Fraser,Hugh Wilson,3000.0,5568,37,272,3.8,41.0,77.0,7950549.495612236,18043139.50627409
922,East Is East,1999-03-20,True,Comedy,English,United Kingdom,R,Archie Panjabi,Damien O'Donnell,883.0,1616,70,1000,6.9,82.0,96.0,4644631.661005624,2115930.73110975
923,Edtv,1999-01-14,True,Comedy,English,United States of America,PG-13,Matthew McConaughey,Ron Howard,11000.0,15275,2000,641,6.1,115.0,122.0,18340441.236775197,45107848.76568522
924,Election,1999-04-06,True,Comedy,English,United States of America,R,Matthew Broderick,Alexander Payne,2000.0,3516,729,0,7.3,175.0,103.0,12203359.304518985,6561141.638645124
925,End of Days,1999-05-26,True,Action,English,United States of America,R,CCH Pounder,Peter Hyams,1000.0,3903,0,2000,5.7,174.0,121.0,54836437.30009021,68071844.50094315
926,Entrapment,1999-02-27,True,Action,English,United States of America,PG-13,Will Patton,Jon Amiel,537.0,1302,36,0,6.2,138.0,113.0,71930120.56097761,54129418.51882227
927,eXistenZ,1999-12-01,True,Horror,English,Canada,R,Jennifer Jason Leigh,David Cronenberg,1000.0,2990,0,6000,6.8,196.0,115.0,1814267.3735309145,19800715.38068472
928,Eye of the Beholder,1999-07-21,True,Drama,English,Canada,R,Jason Priestley,Stephan Elliott,471.0,1069,11,327,4.9,88.0,109.0,10512904.956566172,9580991.313234542
929,Eyes Wide Shut,1999-10-11,True,Drama,English,United Kingdom,R,Tom Cruise,Stanley Kubrick,10000.0,11424,0,10000,7.3,280.0,159.0,61960777.326131746,72387103.95901777
930,Fantasia 2000,1999-01-10,True,Animation,English,United States of America,G,Quincy Jones,James Algar,340.0,814,11,607,7.3,129.0,74.0,49624561.633724265,65611416.38645124
931,Fight Club,1999-03-04,True,Drama,English,United States of America,R,Brad Pitt,David Fincher,11000.0,13209,21000,48000,8.8,315.0,151.0,30364467.31731321,51668990.40433035
932,Flawless,1999-05-03,True,Comedy,English,United States of America,R,Robert De Niro,Joel Schumacher,22000.0,46022,541,0,6.4,78.0,112.0,3678737.800377265,12302140.572459606
933,Foolish,1999-03-12,True,Comedy,English,United States of America,R,Eddie Griffin,Dave Meyers,489.0,2196,11,43,4.3,16.0,84.0,4942924.628885426,1640285.409661281
934,For Love of the Game,1999-01-27,True,Drama,English,United States of America,PG-13,J.K. Simmons,Sam Raimi,24000.0,25469,0,0,6.5,113.0,137.0,28843102.599852372,41007135.24153202
935,Galaxy Quest,1999-07-02,True,Adventure,English,United States of America,PG,Alan Rickman,Dean Parisot,25000.0,26998,23,19000,7.3,213.0,102.0,58577647.83072254,36906421.71737882
936,"Girl, Interrupted",1999-02-07,True,Biography,English,United States of America,R,Angelina Jolie Pitt,James Mangold,11000.0,13433,446,0,7.3,133.0,127.0,23678495.85827934,19683424.91593537
937,Go,1999-04-04,True,Comedy,English,United States of America,R,Sarah Polley,Doug Liman,900.0,2475,218,0,7.3,137.0,102.0,13813091.93799721,5330927.581399163
938,Godzilla 2000,1999-08-22,True,Action,Japanese,Japan,PG,Hiroshi Abe,Takao Okawara,43.0,53,2,339,6.0,107.0,99.0,79422.29783193544,7912644.4057604065
939,"Happy, Texas",1999-09-06,True,Comedy,English,United States of America,PG-13,Ally Walker,Mark Illsley,349.0,2095,3,374,6.3,77.0,98.0,1594069.5481013695,1394242.5982120887
940,Held Up,1999-11-18,True,Comedy,English,United States of America,PG-13,Barry Corbin,Steve Rash,883.0,3291,15,77,5.1,11.0,89.0,3848777.1672270973,6561141.638645124
941,House on Haunted Hill,1999-03-30,True,Horror,English,United States of America,R,Jeffrey Combs,William Malone,885.0,2872,37,0,5.6,147.0,93.0,33499616.173214138,15582711.391782168
942,Human Traffic,1999-09-11,True,Comedy,English,United Kingdom,R,Danny Dyer,Justin Kerrigan,798.0,1430,8,0,7.1,47.0,99.0,116105.57380700484,2450025.057074447
943,Idle Hands,1999-12-11,True,Comedy,English,United States of America,R,Vivica A. Fox,Rodman Flender,890.0,3654,6,0,6.2,59.0,92.0,3282994.341015336,16402854.09661281
944,In Dreams,1999-01-04,True,Drama,English,United States of America,R,Robert Downey Jr.,Neil Jordan,21000.0,22006,277,654,5.5,62.0,100.0,9759698.187484622,24604281.144919213
945,In Too Deep,1999-03-27,True,Crime,English,United States of America,R,LL Cool J,Michael Rymer,1000.0,4837,48,375,6.1,28.0,95.0,11484573.93586484,5740998.933814483
946,Inspector Gadget,1999-11-24,True,Action,English,United States of America,PG,Matthew Broderick,David Kellogg,2000.0,5320,16,509,4.1,70.0,110.0,79849150.33215779,61510702.862298034
947,Instinct,1999-03-27,True,Drama,English,United States of America,R,Anthony Hopkins,Jon Turteltaub,12000.0,13406,226,0,6.5,100.0,126.0,27965687.689657997,45107848.76568522
948,Jakob the Liar,1999-09-03,True,Drama,English,France,PG-13,Robin Williams,Peter Kassovitz,49000.0,51657,0,0,6.5,68.0,120.0,4956401.0,15000000.0
949,Jawbreaker,1999-06-29,True,Comedy,English,United States of America,R,Julie Benz,Darren Stein,3000.0,9555,18,0,5.4,49.0,87.0,2519434.9216763712,2870499.4669072414
950,Jesus' Son,1999-05-18,True,Drama,English,United States of America,R,Billy Crudup,Alison Maclean,745.0,2125,7,500,7.0,74.0,107.0,1051491.8395800868,2050356.7620766012
951,Just Looking,1999-02-15,True,Comedy,English,United States of America,R,Gretchen Mol,Jason Alexander,599.0,1030,700,117,6.7,20.0,97.0,32684.327072910684,2460428.1144919214
952,Lake Placid,1999-12-26,True,Action,English,United States of America,R,Oliver Platt,Steve Miner,1000.0,3313,49,2000,5.6,152.0,82.0,26054600.180431392,22143853.030427292
953,Light It Up,1999-07-30,True,Drama,English,United States of America,R,Rosario Dawson,Craig Bolotin,3000.0,6485,7,251,6.0,39.0,99.0,4815552.366111703,10661855.162798326
954,Limbo,1999-11-25,True,Adventure,English,United States of America,R,Mary Elizabeth Mastrantonio,John Sayles,638.0,823,407,196,7.1,46.0,126.0,1638486.8367095874,6561141.638645124
955,Love Stinks,1999-02-09,True,Comedy,English,United States of America,R,Ivana Milicevic,Jeff Franklin,834.0,2662,24,309,5.8,45.0,94.0,2296399.5735257934,3280570.819322562
956,Magnolia,1999-12-29,True,Drama,English,United States of America,R,Patton Oswalt,Paul Thomas Anderson,786.0,1906,0,13000,8.0,224.0,188.0,18413003.362585086,30345280.078733698
957,Man on the Moon,1999-04-06,True,Biography,English,United Kingdom,R,Matt Price,Milos Forman,134.0,209,869,0,7.4,140.0,118.0,38510646.47252074,57909683.16721421
958,Message in a Bottle,1999-01-23,True,Drama,English,United States of America,PG-13,Robin Wright,Luis Mandoki,18000.0,19815,43,0,6.1,85.0,131.0,43302717.952923805,45107848.76568522
959,Mickey Blue Eyes,1999-05-01,True,Comedy,English,United Kingdom,PG-13,Jeanne Tripplehorn,Kelly Makin,711.0,2913,6,445,5.8,90.0,102.0,37712948.38242664,44545910.12862632
960,Molly,1999-08-22,True,Comedy,English,United States of America,PG-13,Elaine Hendrix,John Duigan,670.0,1562,18,284,5.8,16.0,102.0,12788.485196424177,17222996.80144345
961,Mumford,1999-12-21,False,Comedy,English,United States of America,R,Zooey Deschanel,Lawrence Kasdan,11000.0,17873,759,209,6.9,65.0,112.0,3735396.538997785,22963995.73525793
962,Muppets from Space,1999-06-06,True,Adventure,English,United States of America,G,Josh Charles,Tim Hill,1000.0,3243,25,619,6.2,70.0,87.0,13360925.120971048,19683424.91593537
963,My Favorite Martian,1999-09-03,True,Comedy,English,United States of America,PG,Steven Anthony Lawrence,Donald Petrie,1000.0,2151,80,448,4.9,49.0,94.0,30205902.567046665,53309275.81399163
964,Mystery Men,1999-07-03,True,Action,English,United States of America,PG-13,Janeane Garofalo,Kinka Usher,1000.0,3986,18,0,6.0,125.0,121.0,24321815.795948494,53309275.81399163
965,"Mystery, Alaska",1999-09-23,True,Comedy,English,Canada,R,Scott Grimes,Jay Roach,738.0,2171,116,913,6.7,74.0,119.0,5677148.058252427,17884517.118037812
966,Notting Hill,1999-05-04,True,Comedy,English,United Kingdom,PG-13,Julia Roberts,Roger Michell,8000.0,9255,50,11000,7.0,150.0,124.0,129189910.35135587,46773205.63505763
967,Office Space,1999-07-18,True,Comedy,English,United States of America,R,Gary Cole,Mike Judge,989.0,3462,406,16000,7.8,144.0,89.0,8877979.988518002,8201427.048306405
968,One Man's Hero,1999-06-07,True,Action,English,Spain,R,Tom Berenger,Lance Hool,854.0,2705,0,271,6.2,10.0,121.0,229311.0,11350000.0
969,Outside Providence,1999-01-12,True,Comedy,English,United States of America,R,Jonathan Brandis,Michael Corrente,761.0,2018,30,0,6.4,72.0,96.0,5980624.128598375,5740998.933814483
970,Payback,1999-05-03,True,Action,English,United States of America,R,Bill Duke,Brian Helgeland,1000.0,3148,241,0,7.1,143.0,90.0,66855934.55261215,41007135.24153202
971,Play It to the Bone,1999-04-19,True,Comedy,English,United States of America,R,Willie Garson,Ron Shelton,512.0,1523,41,153,5.4,73.0,124.0,6911509.882719592,19683424.91593537
972,Pushing Tin,1999-02-12,True,Comedy,English,United States of America,R,Angelina Jolie Pitt,Mike Newell,11000.0,13093,179,783,6.0,56.0,124.0,6894336.094480439,31165422.783564337
973,Random Hearts,1999-06-10,True,Drama,English,United States of America,R,Harrison Ford,Sydney Pollack,11000.0,16710,521,295,5.1,96.0,133.0,25469469.367669974,52489133.10916099
974,Ravenous,1999-06-04,True,Fantasy,English,Czech Republic,R,Jeremy Davies,Antonia Bird,769.0,2543,61,0,7.1,131.0,101.0,78366.21164302825,456291.11373056006
975,Ride with the Devil,1999-12-19,True,Drama,English,United States of America,R,Jeremy W. Auman,Ang Lee,3.0,5,0,633,6.8,95.0,148.0,517328.79521036654,28704994.669072416
976,Runaway Bride,1999-01-17,True,Comedy,English,United States of America,PG,Julia Roberts,Garry Marshall,8000.0,12790,0,0,5.5,103.0,116.0,124784376.28147297,57409989.33814483
977,She's All That,1999-08-25,True,Comedy,English,United States of America,PG-13,Paul Walker,Robert Iscove,23000.0,28734,7,0,5.8,96.0,95.0,51931033.37980808,8201427.048306405
978,Simply Irresistible,1999-10-22,True,Comedy,English,Germany,PG-13,Sarah Michelle Gellar,Mark Tarlov,4000.0,5668,3,901,5.3,35.0,96.0,4394936.0,6000000.0
979,Smiling Fish & Goat on Fire,1999-11-03,True,Comedy,English,United States of America,R,Derick Martini,Kevin Jordan,20000.0,20814,4,0,7.6,21.0,90.0,227370.62248831295,32805.70819322562
980,Snow Falling on Cedars,1999-12-13,True,Drama,English,United States of America,PG-13,Rick Yune,Scott Hicks,746.0,2393,96,846,6.8,95.0,127.0,11792301.320429754,29525137.373903055
981,South Park: Bigger Longer & Uncut,1999-11-06,True,Animation,English,United States of America,R,Minnie Driver,Trey Parker,893.0,3003,406,0,7.8,163.0,81.0,42654217.993930936,17222996.80144345
982,Star Wars: Episode I - The Phantom Menace,1999-06-19,True,Action,English,United States of America,PG,Natalie Portman,George Lucas,20000.0,37723,0,13000,6.5,320.0,136.0,389194354.9577626,94316411.05552365
983,Stigmata,1999-12-25,True,Horror,English,United States of America,R,Nia Long,Rupert Wainwright,826.0,3004,9,0,6.2,131.0,103.0,41041361.43689001,23784138.440088574
984,Stir of Echoes,1999-05-03,True,Horror,English,United States of America,R,Illeana Douglas,David Koepp,347.0,1254,192,0,7.0,164.0,99.0,17332147.133601245,9841712.457967686
985,Stuart Little,1999-12-18,True,Adventure,English,Germany,PG,Chazz Palminteri,Rob Minkoff,979.0,3382,50,0,5.9,101.0,84.0,140015224.0,133000000.0
986,Sugar Town,1999-12-25,True,Comedy,English,United Kingdom,R,Ally Sheedy,Allison Anders,793.0,1987,99,93,6.1,29.0,92.0,198051.1164318726,278411.9383039145
987,Summer of Sam,1999-04-23,True,Crime,English,United States of America,R,Mira Sorvino,Spike Lee,978.0,5386,0,0,6.6,85.0,142.0,15815453.128844418,18043139.50627409
988,Superstar,1999-09-30,True,Comedy,English,United States of America,PG-13,Will Ferrell,Bruce McCulloch,8000.0,10792,54,2000,5.0,43.0,81.0,25120135.323546294,11481997.867628966
